"48:0",200,"1181ms","3ms"
"48:0",400,"2423ms","8ms"
"48:0",600,"3924ms","13ms"
"48:0",800,"4770ms","15ms"
"48:0",1000,"6275ms","20ms"
"48:0",1200,"7531ms","25ms"
"48:0",1400,"8742ms","29ms"
"48:0",1600,"10167ms","33ms"
"48:0",1800,"11189ms","37ms"
"48:0",2000,"12097ms","40ms"
"96:0",200,"620ms","4ms"
"96:0",400,"1219ms","8ms"
"96:0",600,"1824ms","12ms"
"96:0",800,"2424ms","16ms"
"96:0",1000,"3175ms","21ms"
"96:0",1200,"3627ms","24ms"
"96:0",1400,"4440ms","29ms"
"96:0",1600,"4975ms","33ms"
"96:0",1800,"5487ms","36ms"
"96:0",2000,"6275ms","41ms"
"144:0",200,"417ms","4ms"
"144:0",400,"823ms","8ms"
"144:0",600,"1281ms","12ms"
"144:0",800,"1728ms","17ms"
"144:0",1000,"2035ms","20ms"
"144:0",1200,"2425ms","24ms"
"144:0",1400,"3031ms","30ms"
"144:0",1600,"3460ms","34ms"
"144:0",1800,"3843ms","38ms"
"144:0",2000,"4287ms","42ms"
"192:0",200,"320ms","4ms"
"192:0",400,"683ms","9ms"
"192:0",600,"921ms","12ms"
"192:0",800,"1258ms","16ms"
"192:0",1000,"1670ms","22ms"
"192:0",1200,"1896ms","25ms"
"192:0",1400,"2203ms","29ms"
"192:0",1600,"2518ms","33ms"
"192:0",1800,"2941ms","39ms"
"192:0",2000,"3234ms","43ms"
"240:0",200,"256ms","4ms"
"240:0",400,"500ms","8ms"
"240:0",600,"748ms","12ms"
"240:0",800,"1014ms","16ms"
"240:0",1000,"1284ms","21ms"
"240:0",1200,"1528ms","25ms"
"240:0",1400,"1821ms","30ms"
"240:0",1600,"2120ms","35ms"
"240:0",1800,"2323ms","38ms"
"240:0",2000,"2609ms","43ms"
"288:0",200,"216ms","4ms"
"288:0",400,"417ms","8ms"
"288:0",600,"639ms","12ms"
"288:0",800,"879ms","17ms"
"288:0",1000,"1118ms","22ms"
"288:0",1200,"1276ms","25ms"
"288:0",1400,"1586ms","31ms"
"288:0",1600,"1780ms","35ms"
"288:0",1800,"1970ms","39ms"
"288:0",2000,"2133ms","42ms"
"336:288",200,"190ms","4ms"
"336:288",400,"362ms","8ms"
"336:288",600,"584ms","13ms"
"336:288",800,"784ms","18ms"
"336:288",1000,"969ms","22ms"
"336:288",1200,"1177ms","27ms"
"336:288",1400,"1313ms","30ms"
"336:288",1600,"1542ms","35ms"
"336:288",1800,"1666ms","38ms"
"336:288",2000,"1940ms","45ms"
"384:192",200,"169ms","4ms"
"384:192",400,"326ms","8ms"
"384:192",600,"512ms","13ms"
"384:192",800,"728ms","19ms"
"384:192",1000,"839ms","22ms"
"384:192",1200,"1052ms","27ms"
"384:192",1400,"1165ms","30ms"
"384:192",1600,"1338ms","35ms"
"384:192",1800,"1545ms","40ms"
"384:192",2000,"1678ms","44ms"
"432:144",200,"157ms","4ms"
"432:144",400,"293ms","8ms"
"432:144",600,"458ms","13ms"
"432:144",800,"657ms","19ms"
"432:144",1000,"799ms","23ms"
"432:144",1200,"906ms","26ms"
"432:144",1400,"1098ms","32ms"
"432:144",1600,"1239ms","36ms"
"432:144",1800,"1357ms","39ms"
"432:144",2000,"1661ms","48ms"
"480:0",200,"137ms","4ms"
"480:0",400,"282ms","9ms"
"480:0",600,"408ms","13ms"
"480:0",800,"562ms","18ms"
"480:0",1000,"717ms","23ms"
"480:0",1200,"883ms","29ms"
"480:0",1400,"952ms","31ms"
"480:0",1600,"1096ms","36ms"
"480:0",1800,"1238ms","41ms"
"480:0",2000,"1357ms","45ms"
