"48:0",200,"15683ms","52ms"
"48:0",400,"31111ms","103ms"
"48:0",600,"47291ms","157ms"
"48:0",800,"62453ms","208ms"
"48:0",1000,"77615ms","258ms"
"48:0",1200,"94212ms","314ms"
"48:0",1400,"108883ms","362ms"
"48:0",1600,"124792ms","415ms"
"48:0",1800,"139416ms","464ms"
"48:0",2000,"156529ms","521ms"
"96:0",200,"7940ms","52ms"
"96:0",400,"15749ms","104ms"
"96:0",600,"23700ms","158ms"
"96:0",800,"31427ms","209ms"
"96:0",1000,"39626ms","264ms"
"96:0",1200,"47387ms","315ms"
"96:0",1400,"55320ms","368ms"
"96:0",1600,"63124ms","420ms"
"96:0",1800,"70999ms","473ms"
"96:0",2000,"78728ms","524ms"
"144:0",200,"5439ms","54ms"
"144:0",400,"10710ms","107ms"
"144:0",600,"16006ms","160ms"
"144:0",800,"21308ms","213ms"
"144:0",1000,"26721ms","267ms"
"144:0",1200,"32210ms","322ms"
"144:0",1400,"37475ms","374ms"
"144:0",1600,"42630ms","426ms"
"144:0",1800,"48529ms","485ms"
"144:0",2000,"53468ms","534ms"
"192:0",200,"4074ms","54ms"
"192:0",400,"8182ms","109ms"
"192:0",600,"12257ms","163ms"
"192:0",800,"16213ms","216ms"
"192:0",1000,"20350ms","271ms"
"192:0",1200,"24562ms","327ms"
"192:0",1400,"28367ms","378ms"
"192:0",1600,"32600ms","434ms"
"192:0",1800,"36541ms","487ms"
"192:0",2000,"40694ms","542ms"
"240:0",200,"3351ms","55ms"
"240:0",400,"6599ms","109ms"
"240:0",600,"9990ms","166ms"
"240:0",800,"13195ms","219ms"
"240:0",1000,"16559ms","275ms"
"240:0",1200,"19927ms","332ms"
"240:0",1400,"23107ms","385ms"
"240:0",1600,"26432ms","440ms"
"240:0",1800,"29885ms","498ms"
"240:0",2000,"33086ms","551ms"
"288:0",200,"2825ms","56ms"
"288:0",400,"5632ms","112ms"
"288:0",600,"8448ms","168ms"
"288:0",800,"11221ms","224ms"
"288:0",1000,"14081ms","281ms"
"288:0",1200,"16808ms","336ms"
"288:0",1400,"19648ms","392ms"
"288:0",1600,"22417ms","448ms"
"288:0",1800,"25223ms","504ms"
"288:0",2000,"28224ms","564ms"
"336:288",200,"2452ms","57ms"
"336:288",400,"4873ms","113ms"
"336:288",600,"7331ms","170ms"
"336:288",800,"9804ms","228ms"
"336:288",1000,"12181ms","283ms"
"336:288",1200,"14670ms","341ms"
"336:288",1400,"17206ms","400ms"
"336:288",1600,"19411ms","451ms"
"336:288",1800,"21822ms","507ms"
"336:288",2000,"24549ms","570ms"
"384:192",200,"2175ms","57ms"
"384:192",400,"4403ms","115ms"
"384:192",600,"6588ms","173ms"
"384:192",800,"8674ms","228ms"
"384:192",1000,"10902ms","286ms"
"384:192",1200,"13093ms","344ms"
"384:192",1400,"15258ms","401ms"
"384:192",1600,"17460ms","459ms"
"384:192",1800,"19683ms","517ms"
"384:192",2000,"21740ms","572ms"
"432:144",200,"1974ms","58ms"
"432:144",400,"4009ms","117ms"
"432:144",600,"5942ms","174ms"
"432:144",800,"7969ms","234ms"
"432:144",1000,"10004ms","294ms"
"432:144",1200,"11825ms","347ms"
"432:144",1400,"13855ms","407ms"
"432:144",1600,"15861ms","466ms"
"432:144",1800,"17838ms","524ms"
"432:144",2000,"19677ms","578ms"
"480:0",200,"1869ms","62ms"
"480:0",400,"3611ms","120ms"
"480:0",600,"5323ms","177ms"
"480:0",800,"7184ms","239ms"
"480:0",1000,"8965ms","298ms"
"480:0",1200,"10755ms","358ms"
"480:0",1400,"12584ms","419ms"
"480:0",1600,"14179ms","472ms"
"480:0",1800,"16087ms","536ms"
"480:0",2000,"17787ms","592ms"
