"48:46",200,"5198ms","9ms"
"48:46",400,"10207ms","18ms"
"48:46",600,"15298ms","27ms"
"48:46",800,"20581ms","36ms"
"48:46",1000,"26011ms","46ms"
"48:46",1200,"32260ms","57ms"
"48:46",1400,"35757ms","63ms"
"48:46",1600,"41903ms","74ms"
"48:46",1800,"45962ms","81ms"
"48:46",2000,"51033ms","90ms"
"96:46",200,"2548ms","9ms"
"96:46",400,"5121ms","18ms"
"96:46",600,"7673ms","27ms"
"96:46",800,"11377ms","40ms"
"96:46",1000,"12883ms","45ms"
"96:46",1200,"15339ms","54ms"
"96:46",1400,"17874ms","63ms"
"96:46",1600,"20382ms","72ms"
"96:46",1800,"23914ms","84ms"
"96:46",2000,"25930ms","91ms"
"144:46",200,"1720ms","9ms"
"144:46",400,"3438ms","18ms"
"144:46",600,"5217ms","27ms"
"144:46",800,"6861ms","36ms"
"144:46",1000,"8853ms","46ms"
"144:46",1200,"10639ms","56ms"
"144:46",1400,"12428ms","65ms"
"144:46",1600,"14049ms","74ms"
"144:46",1800,"15606ms","82ms"
"144:46",2000,"18298ms","96ms"
"192:46",200,"1297ms","9ms"
"192:46",400,"2646ms","18ms"
"192:46",600,"3860ms","27ms"
"192:46",800,"5298ms","37ms"
"192:46",1000,"6560ms","46ms"
"192:46",1200,"7882ms","55ms"
"192:46",1400,"9283ms","65ms"
"192:46",1600,"10984ms","77ms"
"192:46",1800,"11773ms","82ms"
"192:46",2000,"13381ms","94ms"
"240:238",200,"1034ms","9ms"
"240:238",400,"2168ms","19ms"
"240:238",600,"3314ms","29ms"
"240:238",800,"4186ms","37ms"
"240:238",1000,"5213ms","46ms"
"240:238",1200,"6235ms","55ms"
"240:238",1400,"7442ms","65ms"
"240:238",1600,"8521ms","75ms"
"240:238",1800,"9556ms","84ms"
"240:238",2000,"10426ms","92ms"
"288:46",200,"872ms","9ms"
"288:46",400,"1903ms","20ms"
"288:46",600,"2778ms","29ms"
"288:46",800,"3542ms","37ms"
"288:46",1000,"4420ms","46ms"
"288:46",1200,"5276ms","55ms"
"288:46",1400,"6153ms","64ms"
"288:46",1600,"7149ms","75ms"
"288:46",1800,"8121ms","85ms"
"288:46",2000,"8936ms","94ms"
"336:238",200,"753ms","9ms"
"336:238",400,"1632ms","20ms"
"336:238",600,"2287ms","28ms"
"336:238",800,"3102ms","38ms"
"336:238",1000,"3755ms","46ms"
"336:238",1200,"4620ms","57ms"
"336:238",1400,"5293ms","65ms"
"336:238",1600,"6075ms","75ms"
"336:238",1800,"6792ms","83ms"
"336:238",2000,"7574ms","93ms"
"384:238",200,"655ms","9ms"
"384:238",400,"1359ms","19ms"
"384:238",600,"2006ms","28ms"
"384:238",800,"2679ms","37ms"
"384:238",1000,"3314ms","46ms"
"384:238",1200,"3997ms","56ms"
"384:238",1400,"4831ms","68ms"
"384:238",1600,"5433ms","76ms"
"384:238",1800,"6098ms","85ms"
"384:238",2000,"6839ms","96ms"
"432:334",200,"587ms","9ms"
"432:334",400,"1214ms","19ms"
"432:334",600,"1792ms","28ms"
"432:334",800,"2470ms","39ms"
"432:334",1000,"2966ms","47ms"
"432:334",1200,"3595ms","57ms"
"432:334",1400,"4202ms","66ms"
"432:334",1600,"4863ms","77ms"
"432:334",1800,"5510ms","87ms"
"432:334",2000,"6044ms","95ms"
"480:238",200,"544ms","9ms"
"480:238",400,"1099ms","19ms"
"480:238",600,"1617ms","28ms"
"480:238",800,"2159ms","37ms"
"480:238",1000,"2696ms","47ms"
"480:238",1200,"3276ms","57ms"
"480:238",1400,"3860ms","67ms"
"480:238",1600,"4433ms","77ms"
"480:238",1800,"4974ms","87ms"
"480:238",2000,"5547ms","97ms"
